,Loss,IoU
0,0.6291724789462634,0.6120280273471203
1,0.3981881739709201,0.7375001035280676
2,0.3567614965390839,0.7605377491688569
3,0.31551909716737353,0.7850255786172495
4,0.30313465989276067,0.7928813511893253
5,0.28966316510766943,0.8011656339536577
6,0.28049938330714336,0.8067475081290174
7,0.2716141197105382,0.8123392226712015
8,0.2670000043491389,0.8151923398043486
9,0.2650256270930271,0.8169181838931653
10,0.25669449197765964,0.8218348674326135
11,0.2515347779997243,0.8251150070420847
12,0.24931922004926924,0.8266109440150677
13,0.24260003744755815,0.8311502025431434
14,0.24661265433634688,0.8283466580730157
15,0.23699314522263187,0.8342827226491583
16,0.2357641775536057,0.8355195550310531
17,0.22613606446941428,0.841217589058332
18,0.2287938053775954,0.840371162699373
19,0.22587755212447788,0.8419535092059398
20,0.22632809883396096,0.84129980866541
21,0.22889789698907992,0.8408486867111001
22,0.21937116180490326,0.8466080071142056
23,0.21228854268189246,0.8507310508081577
24,0.21135235112785494,0.85129091963672
25,0.2109483023417876,0.8519710070334825
26,0.2042567985969902,0.856799530902965
27,0.20049493664863124,0.8585531683576187
28,0.2015907502414396,0.8578562628502814
29,0.19638941281993919,0.8614969613568094
30,0.1898792442059357,0.8654527584178335
31,0.19574005491781554,0.8618838643067636
32,0.1880879219146383,0.8661714192204828
33,0.18555706979444364,0.8682825677346864
34,0.1833910596050672,0.8693445004872827
35,0.18691959067079045,0.8674710620969734
36,0.1766846211964652,0.8736991950329518
37,0.17465883433418786,0.8751938727078021
38,0.1726876066235088,0.8766287285209502
39,0.17491857057449803,0.8750706163028743
40,0.17701574369964984,0.8733816114848092
41,0.1704620610947577,0.8782195716896313
42,0.1621421957576035,0.8836919465321023
43,0.16006870232772508,0.8852577257476397
44,0.15917060549227183,0.8858985320833705
45,0.15560031812263014,0.8881373697479299
46,0.15244009940816253,0.890266810887612
47,0.15152047514515435,0.8909208130516462
48,0.15057389233136337,0.8912475165104706
49,0.15269761327529113,0.890065871629139
50,0.14636583641271464,0.8944233143889664
51,0.1496607652746591,0.8923211357737547
52,0.1424520619763624,0.896978814329877
53,0.14178392811109555,0.8974101171397523
54,0.1400458342176956,0.8988082276894742
55,0.13610340979875335,0.9014158780942827
56,0.13399579225970595,0.902910153337773
57,0.13355430625629106,0.903233629745125
58,0.12994211837149305,0.9056291800217341
59,0.13036150470276006,0.9052734987047695
60,0.13117013231619892,0.9048023923931506
61,0.12882536619701643,0.9062328074602473
62,0.12947283850220226,0.905874980776102
63,0.12654031918152867,0.9076771040090779
64,0.12517476476878928,0.9087999071050811
65,0.1239035219554133,0.9095615068538077
66,0.12205436450723034,0.9108377251049016
67,0.11785519493106228,0.9137481499038287
68,0.11711290068674407,0.9142750601640484
69,0.11903655008981692,0.9128560435851948
70,0.11974433049459586,0.9122959023354037
71,0.11522172646434516,0.9155584249720478
72,0.11396580339478166,0.9163539649656155
73,0.1184835966001421,0.9133769321761676
74,0.11478238382795514,0.9156539712176227
75,0.11108173854999094,0.9184501351126089
76,0.10890517238802558,0.9199760656228801
77,0.10807161048154702,0.9205213145121632
78,0.10611827101483441,0.9218756732524641
79,0.10455843106212231,0.9230447971580813
80,0.10583172363522869,0.9221629164362913
81,0.10551938499580293,0.9222874689422198
82,0.10425260383010711,0.9232797470668819
83,0.10601114056654425,0.9220263245921807
84,0.102805757432576,0.9241798796109705
85,0.10183975130519611,0.9248711954827277
86,0.09989500580818061,0.9262757373336178
87,0.09897235460929422,0.926854915266869
88,0.10001783062947676,0.9261597062917364
89,0.09819438093460646,0.9275161715961943
90,0.09726871955114723,0.9280833313929154
91,0.09936854768319418,0.9267813415335329
92,0.09656210628731939,0.9285730347537354
93,0.09645430868704047,0.9288062797296768
94,0.09577100058930033,0.9291737823678343
95,0.09492908143157126,0.9298066548853112
96,0.09445422047736661,0.9302154427406771
97,0.09299968583071792,0.9312529043863284
98,0.09186386297013135,0.9319829016723888
99,0.09387447890019257,0.9306248586449847
100,0.09168849415427087,0.9320702264772965
101,0.09031517548649103,0.9331267452079978
102,0.08997522784559518,0.9333974367020114
103,0.09103189893816942,0.932649804841752
104,0.09026390704132567,0.9331925683373573
105,0.08944980485127277,0.9338469241289484
106,0.0888264198731256,0.93420578969405
107,0.08769656702776084,0.9349658441223554
108,0.08783963782675314,0.9349445564634848
109,0.08651434175120104,0.935837880076978
110,0.08719879503818166,0.9357275158766932
111,0.08495308243788328,0.9369997890203591
112,0.08589454300251582,0.9362979319271625
113,0.08512955748994878,0.9369995193993486
114,0.08614362146230352,0.9361152796937315
115,0.08470672208990827,0.9374740655790239
116,0.08285210341615165,0.938467652605684
117,0.08183092618948662,0.9393027204795171
118,0.08264501302834325,0.9386411981294619
119,0.08270403752791002,0.938664981982852
120,0.0818553866956058,0.9392150488475826
121,0.08114566923987945,0.9397809373452359
122,0.08053793083101311,0.9401197717493812
123,0.0803539308425564,0.9403482007500309
124,0.08009465113782242,0.9405040016910374
125,0.07997139778313221,0.9405844315586475
126,0.07896341248446663,0.941336540967826
127,0.07945054514496118,0.9409451520682981
128,0.07868548702673624,0.9415541947288001
129,0.07871161356268314,0.9415759476239249
130,0.07749751865263753,0.9424379335953885
131,0.07742035563960172,0.9425263188829358
132,0.07756446306937492,0.9424267967275325
133,0.07684824290691607,0.9429158280359818
134,0.07842852310246269,0.9416958241654723
135,0.07757865347518217,0.9423519832975913
136,0.0766731163599347,0.9430256701955859
137,0.07588573635224528,0.9435875179783609
138,0.07544973252603672,0.9438581738696002
139,0.07470317719966774,0.9445086769609643
140,0.07487040208090072,0.9444204520859174
141,0.07447117342044843,0.944677763337257
142,0.07415434013077077,0.9448671212932408
143,0.07404716037863852,0.9449459362350054
144,0.073783684296896,0.9451868110055092
145,0.07404135412617818,0.9449746016687994
146,0.07367609046249582,0.9452704635242488
147,0.07327323651953832,0.9454803598807162
148,0.07279035088999959,0.9458926352078483
149,0.07278954227698729,0.9458643474034815
150,0.07242085529653818,0.9461720513817448
151,0.07215735201267588,0.946320128120832
152,0.07249881147138225,0.946098358439119
153,0.07165355200335484,0.9466560538983185
154,0.0717586312918055,0.9466977299459829
155,0.07170890861709646,0.9466801573766158
156,0.0708334254938484,0.9473223550207663
157,0.07108439922632787,0.9471576485857868
158,0.07091640973551161,0.9473319565689804
159,0.07062570278176525,0.9474880255308727
160,0.07031044593993449,0.9477628097438172
161,0.0700190790347605,0.9479787165686588
162,0.07137698870177236,0.9469326874553757
163,0.07082929379688013,0.9474604773841449
164,0.06970629561067428,0.9481679741168182
165,0.07019404156896092,0.9478046286026104
166,0.06994097697354804,0.9479586662062063
167,0.06906440336532241,0.9486697868212758
168,0.06924148236445132,0.9484735087260304
169,0.0691825667233675,0.9485140726870338
170,0.06889903310361324,0.9488032208193069
171,0.06887482999255193,0.9487994729272471
172,0.06918543882217983,0.9485889509220251
173,0.0684126155988482,0.9491112256210122
174,0.06825672612594277,0.9492915364719877
175,0.06944070408908312,0.948505417612575
176,0.06825906620829697,0.949203742030483
177,0.06851050675215337,0.94900705550341
178,0.06763741754045423,0.949703338162211
179,0.06756025045210083,0.9497747221249062
180,0.06754429773396294,0.9497866290527702
181,0.06765489655253071,0.9496958719803983
182,0.06737266383415101,0.9498412561096601
183,0.06693614096749549,0.9502347991770546
184,0.06740174922567085,0.9499077224891458
185,0.06837572062375562,0.9497845648919176
186,0.06685922877400513,0.9502770712711667
187,0.06679934823273012,0.9503402249925088
188,0.06684681958200148,0.9502732805757714
189,0.06652068991789081,0.9505250201929336
190,0.06649390605572086,0.9505441740855275
191,0.06622058375669806,0.9507588240124235
192,0.06614678655594787,0.9508543002525432
193,0.06627587031498051,0.9507272731537787
194,0.06610888772762862,0.9508697726582521
195,0.06590761976854113,0.9510359988116578
196,0.06603781346406713,0.9509152149994101
197,0.06581968881639859,0.9510669060201453
198,0.06581964466295787,0.9510296831194986
199,0.06563926863190311,0.9511751860580189
