epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,time_per_epoch
1,0.1247404939777246,96.35367267362209,0.019744224370127388,99.49431099873578,0.001,40.920323610305786
2,0.02571387821720264,99.30445779323428,0.007064438411834999,99.70501474926253,0.001,35.645711183547974
3,0.017956557977624764,99.50468964063653,0.003860708400365335,99.95785924989465,0.001,37.9335880279541
4,0.01201477342632649,99.63115186004848,0.010868887681772322,99.57859249894648,0.001,33.90912365913391
5,0.011028849049967836,99.69438296975446,0.005342915550455321,99.8314369995786,0.001,37.286877393722534
6,0.00912149845983661,99.77869111602908,0.004324923460645067,99.78929624947324,0.0001,38.68398714065552
7,0.004584406580894633,99.84192222573506,0.001930017083906345,99.87357774968395,0.0001,38.84483051300049
8,0.004099265719253215,99.88407629887237,0.0014949840222732529,99.91571849978929,0.0001,36.88314723968506
9,0.0021047249023179266,99.97892296343134,0.0009226523118085339,100.0,0.0001,37.74339556694031
10,0.0028865274265439615,99.93676889029402,0.0006986255141934805,100.0,0.0001,36.96369957923889
11,0.0019063249834143467,99.95784592686269,0.00095183956000317,99.91571849978929,1e-05,36.35310482978821
12,0.002211573361979514,99.93676889029402,0.0010797457650846424,99.95785924989465,1e-05,38.98820447921753
13,0.0020365704229721748,99.95784592686269,0.0009543112076896539,99.95785924989465,1e-05,38.144861459732056
14,0.0021145525973672386,99.93676889029402,0.0008480296973695959,99.95785924989465,1e-05,38.63958740234375
15,0.002135479302594036,99.93676889029402,0.000752670928760623,100.0,1e-05,38.212799072265625
16,0.0017388223404535977,99.98946148171567,0.00069451186294384,99.95785924989465,1.0000000000000002e-06,38.08924603462219
17,0.002358881599163618,99.93676889029402,0.0006658819356609295,100.0,1.0000000000000002e-06,35.215574502944946
18,0.0023687974876174917,99.95784592686269,0.0008535554788006413,99.95785924989465,1.0000000000000002e-06,35.90412759780884
19,0.002216274049244841,99.93676889029402,0.0007777241034969802,99.95785924989465,1.0000000000000002e-06,37.41880798339844
