epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,time_per_epoch
1,0.6362308716241097,82.03425012973534,0.3445942627364083,90.78455790784558,5e-05,46.85050559043884
2,0.2495509637951456,94.48884276076804,0.17639997395637788,96.01494396014944,5e-05,50.20308828353882
3,0.13653866950397855,97.6024909185262,0.10741648161293645,97.67538397675384,5e-05,45.94681668281555
4,0.08608703275784751,98.45355474831344,0.06933400309399555,99.00373599003736,5e-05,45.508609771728516
5,0.05695554069150856,99.23196678775298,0.04790365931234861,99.46035699460357,5e-05,45.673476219177246
6,0.039706676381189895,99.60560456668397,0.03450569939358454,99.75093399750934,5e-06,46.31739926338196
7,0.03158588915298514,99.76128697457187,0.03320171598247007,99.75093399750934,5e-06,40.596171617507935
8,0.03043064848822079,99.75090814737935,0.031980940643207806,99.79244499792445,5e-06,41.58285856246948
9,0.029220863295925645,99.78204462895692,0.02972156539755432,99.79244499792445,5e-06,37.683146953582764
10,0.02833429680649956,99.7716658017644,0.029594704043120146,99.79244499792445,5e-06,43.56100678443909
11,0.027060562350774888,99.81318111053452,0.02820722327420586,99.83395599833956,5.000000000000001e-07,39.87151527404785
12,0.026155920264415985,99.81318111053452,0.028047009702085665,99.83395599833956,5.000000000000001e-07,41.91638898849487
13,0.02606382005576612,99.83393876491957,0.02822522739389617,99.83395599833956,5.000000000000001e-07,39.116483211517334
14,0.02607979552530443,99.84431759211209,0.02721732401436097,99.83395599833956,5.000000000000001e-07,42.34384822845459
15,0.025607684246319908,99.86507524649714,0.02722546828935217,99.83395599833956,5.000000000000001e-07,39.16644239425659
16,0.025606965623018858,99.85469641930462,0.028621563957513946,99.83395599833956,5.000000000000001e-08,40.159127950668335
17,0.025984346878943066,99.81318111053452,0.027800048603431174,99.83395599833956,5.000000000000001e-08,37.6059844493866
18,0.025551860109711718,99.85469641930462,0.02793692265588202,99.83395599833956,5.000000000000001e-08,39.65801644325256
19,0.025453784509210396,99.83393876491957,0.0285038339513305,99.79244499792445,5.000000000000001e-08,39.95043587684631
20,0.02560602552380832,99.82355993772704,0.027286390577884095,99.75093399750934,5.000000000000001e-08,39.16364336013794
21,0.025168510778369197,99.85469641930462,0.02676283875112667,99.83395599833956,5.000000000000002e-09,39.05820298194885
