epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,time_per_epoch
1,0.5647706130877236,84.47327451997924,0.25057412262417766,95.14321295143213,5e-05,37.873944997787476
2,0.1806502921864489,96.6476388168137,0.12857478871745498,97.13574097135741,5e-05,41.08432173728943
3,0.10385145450516647,97.76855215360665,0.08328447868361284,98.29804898298049,5e-05,40.61373519897461
4,0.06890543629199464,98.80643487285937,0.061016446236815104,98.71315898713159,5e-05,39.10562300682068
5,0.04880449482369305,99.33575505967826,0.044405408620246146,99.33582399335825,5e-05,39.43254494667053
6,0.035899692239696225,99.58484691229891,0.03375551619223858,99.54337899543378,5e-06,38.98981952667236
7,0.02900143294589014,99.74052932018682,0.03231763144906022,99.50186799501869,5e-06,42.02657198905945
8,0.027725125911232357,99.76128697457187,0.03251517035287658,99.54337899543378,5e-06,38.78654193878174
9,0.02695701338369276,99.74052932018682,0.030569392342218442,99.50186799501869,5e-06,40.160112619400024
10,0.025823906571712248,99.78204462895692,0.030098506341394233,99.46035699460357,5e-06,41.11661076545715
11,0.024942416131854155,99.7716658017644,0.02932057505179393,99.50186799501869,5.000000000000001e-07,39.24627661705017
12,0.02439942948184044,99.80280228334198,0.02918705186733094,99.50186799501869,5.000000000000001e-07,39.00417923927307
13,0.02427321314867216,99.78204462895692,0.028800083912516896,99.50186799501869,5.000000000000001e-07,40.98337244987488
14,0.02398573840191181,99.81318111053452,0.028015855460819836,99.50186799501869,5.000000000000001e-07,36.33525323867798
15,0.02389611478506384,99.79242345614945,0.028858389631894073,99.50186799501869,5.000000000000001e-07,35.7238495349884
16,0.02390373934103509,99.83393876491957,0.028689648030864958,99.50186799501869,5.000000000000001e-08,39.18595767021179
