epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,time_per_epoch
1,0.09701313158284576,97.00157811678064,0.010026073806123652,99.5793016407236,0.001,36.821420669555664
2,0.017599483129938347,99.54760652288269,0.0036552755380987872,99.87379049221708,0.001,37.05533719062805
3,0.016357222127976915,99.50552340873224,0.0035334040028538994,99.87379049221708,0.001,36.198967695236206
4,0.005353830218655867,99.8211467648606,0.020412295962502755,99.5793016407236,0.001,36.189908027648926
5,0.010478666964048679,99.69489742240926,0.0017922760002919821,99.91586032814472,0.001,36.881823778152466
6,0.004449469016000133,99.85270910047343,0.013966783334557238,99.62137147665125,0.0001,35.97921085357666
7,0.0044641520011881935,99.89479221462388,0.00645823175889109,99.83172065628943,0.0001,34.37208676338196
8,0.002960405086491045,99.95791688584956,0.0031220517390450554,99.91586032814472,0.0001,35.434844970703125
9,0.0018579934620350702,99.93687532877433,0.005104276121601462,99.83172065628943,0.0001,36.291029930114746
10,0.0017751882586242423,99.95791688584956,0.0027822316058484227,99.87379049221708,0.0001,37.80696678161621
11,0.0009462723252618116,99.98947922146239,0.0012496810142061498,99.91586032814472,1e-05,36.5843243598938
12,0.0012229766991092687,100.0,0.0016973312618843621,99.91586032814472,1e-05,39.910579442977905
13,0.0013233939069895444,99.98947922146239,0.0009388610289973294,99.95793016407237,1e-05,38.1396005153656
14,0.0015490444583632164,99.93687532877433,0.000938061608725489,99.95793016407237,1e-05,37.68293905258179
15,0.0015596160572552617,99.95791688584956,0.001224141690126738,99.95793016407237,1e-05,42.70560574531555
16,0.0011455892644957524,99.96843766438717,0.0009169498658018416,99.95793016407237,1.0000000000000002e-06,38.46503186225891
17,0.000930072440814949,99.98947922146239,0.0009989649323707834,99.95793016407237,1.0000000000000002e-06,38.64234709739685
18,0.0008862475819508711,100.0,0.001379949580189598,99.91586032814472,1.0000000000000002e-06,39.71324014663696
19,0.0012218678216655311,99.95791688584956,0.0012819782337399872,99.91586032814472,1.0000000000000002e-06,41.413904905319214
20,0.0011714185335538355,99.97895844292478,0.000958696856783113,100.0,1.0000000000000002e-06,39.44176363945007
21,0.0005267442587694667,100.0,0.0009233354098781513,99.95793016407237,1.0000000000000002e-07,39.43586611747742
22,0.0009747957235798734,99.97895844292478,0.0008146671485809432,100.0,1.0000000000000002e-07,39.12388610839844
23,0.0008215661258627563,100.0,0.00112684538324622,99.95793016407237,1.0000000000000002e-07,38.91477870941162
24,0.001665752364435162,99.96843766438717,0.0007238030880670573,100.0,1.0000000000000002e-07,36.793330907821655
25,0.0006304877607964589,100.0,0.0009533410910157692,99.95793016407237,1.0000000000000002e-07,41.592289686203
26,0.0013090126553036076,99.95791688584956,0.0012983449245820378,99.91586032814472,1.0000000000000004e-08,40.11898159980774
27,0.0008628259260557433,99.98947922146239,0.0008358156321492208,99.95793016407237,1.0000000000000004e-08,40.97493076324463
28,0.05891277644503948,99.94739610731195,0.0018819880100378612,99.91586032814472,1.0000000000000004e-08,41.87782621383667
29,0.0010940236305082064,99.96843766438717,0.001229038966617635,99.95793016407237,1.0000000000000004e-08,42.178348779678345
30,0.0009339740619867975,99.97895844292478,0.0010790089334661139,99.95793016407237,1.0000000000000004e-08,41.330161333084106
